time,H_at_2delta,H_at_3delta,H_at_skin_depth,H_surface,avg_H
3.92,-0.076345497596215,0.020164223543159,-0.35509578888249,-0.48175369876446,-0.033423746992229
3.94,-0.087957387673058,0.014456255006644,-0.34722813110897,-0.36812457898578,-0.031578275073998
3.96,-0.098087841937346,0.0086478300272944,-0.33383478512643,-0.24868991470278,-0.029163865908465
3.98,-0.10657777236729,0.0028297023786096,-0.31512734328813,-0.12533326191372,-0.026218783703244
4,-0.11329395497255,-0.0029072118565049,-0.2914011998133,-2.8718326475164e-08,-0.022789660483001
4.02,-0.11813113094835,-0.0084732682271666,-0.26303089232325,0.12533320492997,-0.018930760692165
4.04,-0.121013666799,-0.013781507798857,-0.23046419523698,0.2486898590706,-0.014703125429488
4.06,-0.12189674724996,-0.018749028682941,-0.19421505817706,0.36812452558252,-0.01017360981041
4.08,-0.12076708213555,-0.02329829358158,-0.15485550075133,0.48175364843232,-0.0054138286385979
4.1,-0.11764311611416,-0.027358352727341,-0.11300659153466,0.58778522847801,-0.00049902701405375
4.12,-0.1125747379039,-0.030865962931059,-0.069328653517586,0.68454708436587,0.0044931063110093
4.14,-0.1056424936242,-0.033766585089965,-0.024510850487904,0.77051322382933,0.0094836641144404
4.16,-0.096956316649451,-0.036015244424835,0.020739681425914,0.84432790949843,0.014393765102705
4.18,-0.086653794005777,-0.037577239879744,0.065708985647239,0.90482703968809,0.019145797900807
4.2,-0.074897996650915,-0.038428691496841,0.10968754460779,0.95105650697697,0.023664645015111
4.22,-0.061874907855072,-0.038556917133747,0.15198146919972,0.98228724505143,0.02787886746643
4.24,-0.047790490238754,-0.03796063258258,0.1919234417588,0.99802672651684,0.03172183141101
4.26,-0.032867437722211,-0.036649971934655,0.22888324000154,0.99802673034872,0.035132758981906
4.28,-0.017341663610221,-0.034646327869729,0.26227767594708,0.98228725648666,0.038057686778369
4.3,-0.0014585801972885,-0.031982014388597,0.29157979308141,0.9510565258352,0.040450316887266
4.32,0.014530771433858,-0.028699757307959,0.31632717671896,0.90482706567192,0.04227274701543
4.34,0.030373680385034,-0.024852020552832,0.33612924650209,0.84432794219807,0.043496068218304
4.36,0.045819751251223,-0.020500178871286,0.35067341603162,0.77051326272909,0.044100820798335
4.38,0.06062485291431,-0.015713550018358,0.35973002248705,0.68454712885229,0.044077301183328
4.4,0.074554968547041,-0.010568301672217,0.36315594849358,0.58778527784949,0.0434257149451
4.42,0.087389886110318,-0.0051462503211774,0.36089687911673,0.48175370191026,0.04215617354523
4.44,0.098926671142428,0.00046642893610473,0.3529881583906,0.36812458232354,0.040288534859227
4.46,0.1089828670722,0.0061805613300022,0.33955423187156,0.24868991817985,0.03785208999414
4.48,0.11739937258523,0.011905378667534,0.3208066840087,0.12533326547527,0.034885101338674
4.5,0.12404295066532,0.017549950710833,0.29704090128293,3.2308187450655e-08,0.031434199131044
4.52,0.12880832974205,0.023024619112728,0.26863141373888,-0.12533320136841,0.02755364606104
4.54,0.13161986380802,0.0282424112954,0.2360259883764,-0.24868985559352,0.023304481503964
4.56,0.13243272532483,0.033120411974349,0.19973856755255,-0.36812452224475,0.018753558882385
4.58,0.13123361210473,0.03758107069791,0.16034116375943,-0.4817536452865,0.013972491337078
4.6,0.12804095702011,0.041553424781592,0.11845483860221,-0.58778522557375,0.0090365223345529
4.62,0.12290463723357,0.044974218350813,0.07473990824419,-0.68454708174898,0.004023339022355
4.64,0.11590518753395,0.04778889984402,0.029885529784831,-0.77051322154106,-0.00098815295376583
4.66,0.10715253018476,0.049952482244965,-0.01540116720021,-0.84432790757489,-0.0059190738489555
4.68,0.096784241315724,0.051430252477705,-0.060406232554936,-0.90482703815961,-0.010691813809714
4.7,0.084963381197657,0.05219831877674,-0.10442015500275,-0.95105650586764,-0.01523125683724
4.72,0.071875922618452,0.052243987399896,-0.14674905160164,-0.98228724437876,-0.019465965421035
4.74,0.057727817916151,0.051565962742937,-0.18672561073053,-0.99802672629143,-0.023329307160384
4.76,0.042741750923757,0.050174367699969,-0.22371961602921,-0.99802673057413,-0.026760505606232
4.78,0.027153625049538,0.048090583948496,-0.25714788532329,-0.98228725715934,-0.029705598751042
4.8,0.011208842877837,0.045346914677917,-0.28648346779112,-0.95105652694453,-0.032118290050698
