time,max_A,total_A
2.9,0.64810184192598,0.5675544219941
2.915,0.64703114200556,0.56735497053698
2.93,0.64625240028569,0.56715612919364
2.945,0.6454256380469,0.56695789449452
2.96,0.6445514527217,0.56676026299957
2.975,0.64363044450159,0.56656323129792
2.99,0.64266321604728,0.56636679600754
3.005,0.64165037220831,0.56617095377491
3.02,0.64072339755959,0.5659757012747
3.035,0.63989909221113,0.56578103520946
3.05,0.63902864255921,0.56558695230927
3.065,0.6381126248633,0.56539344933146
3.08,0.63715161779497,0.56520052306029
3.095,0.63614620217616,0.56500817030667
3.11,0.63509696072591,0.56481638790782
3.125,0.63429686486234,0.56462517272702
3.14,0.63353190907496,0.56443452165327
3.155,0.63272178344077,0.56424443160107
3.17,0.63186703078152,0.56405489951009
3.185,0.63096819656519,0.5638659223449
3.2,0.63002582865695,0.56367749709472
3.215,0.62906968322646,0.56348962077311
3.23,0.62830582290628,0.56330229041775
3.245,0.62749796324064,0.56311550309015
3.26,0.62664662648477,0.56292925587539
3.275,0.62575233746519,0.56274354588186
3.29,0.62481562334674,0.56255837024107
3.305,0.6238370134067,0.56237372610729
3.32,0.62296819213538,0.56218961065741
3.335,0.62225924403309,0.56200602109064
3.35,0.62150719835803,0.5618229546283
3.365,0.62071254796105,0.56164040851356
3.38,0.61987578844236,0.56145838001123
3.395,0.61899741792974,0.56127686640753
3.41,0.61807793686315,0.56109586500985
3.425,0.61730700219397,0.56091537314654
3.44,0.61655599526085,0.56073538816668
3.455,0.61576344072647,0.56055590743988
3.47,0.61492981633085,0.56037692835605
3.485,0.61405560226971,0.5601984483252
3.5,0.61314128099235,0.56002046477723
3.515,0.6122115122966,0.55984297516171
3.53,0.61155351214908,0.55966597694771
3.545,0.61085432586435,0.55948946762355
3.56,0.61011440252096,0.55931344469668
3.575,0.60933419399651,0.55913790569338
3.59,0.60851415476943,0.55896284815867
3.605,0.60765474172599,0.55878826965607
3.62,0.60685177149539,0.55861416776739
3.635,0.60615259538735,0.55844054009259
3.65,0.60541365687546,0.55826738424961
3.665,0.60463539230472,0.5580946978741
3.68,0.60381824054131,0.55792247861937
3.695,0.60296264279119,0.55775072415609
3.71,0.60206904242358,0.55757943217221
3.725,0.60136714605982,0.55740860037273
3.74,0.60071623602182,0.55723822647957
3.755,0.60002631830693,0.55706830823138
3.77,0.5992978062622,0.55689884338337
3.785,0.59853111586683,0.55672982970718
3.8,0.5977266655589,0.55656126499068
3.815,0.59689532496922,0.55639314703783
3.83,0.59624356043303,0.55622547366854
3.845,0.59555368930444,0.55605824271847
3.86,0.5948261113589,0.55589145203893
3.875,0.59406122892034,0.55572509949667
3.89,0.59325944669784,0.5555591829738
3.905,0.59242117162649,0.55539370036758
3.92,0.59165813097459,0.55522864959031
3.935,0.59105145312709,0.55506402856918
3.95,0.59040737289896,0.55489983524611
3.965,0.58972626952212,0.55473606757764
3.98,0.58900852486148,0.55457272353477
3.995,0.58825452325874,0.55440980110281
4.01,0.58746465138017,0.55424729828129
4.025,0.58678973350738,0.55408521308377
4.04,0.58614490535761,0.55392354353777
4.055,0.58546387734914,0.55376228768458
4.07,0.58474701935251,0.55360144357916
4.085,0.5839947036385,0.55344100929001
4.1,0.58320730473419,0.55328098289905
4.115,0.58238918105645,0.55312136250147
4.13,0.58182315029074,0.55296214620564
4.145,0.58122121072375,0.55280333213298
4.16,0.58058371125012,0.55264491841781
4.175,0.57991100337604,0.55248690320727
4.19,0.57920344107806,0.55232928466118
4.205,0.57846138066532,0.55217206095193
4.22,0.57775627200323,0.55201523026437
4.235,0.57715291026172,0.55185879079569
4.25,0.57651475410628,0.5517027407553
4.265,0.57584214446643,0.55154707836475
4.28,0.57513542466448,0.55139180185757
4.295,0.5743949402852,0.55123690947921
