time,Amp_x02,Amp_x04,Amp_x06,E_energy,E_peak,Ey_slab,Ey_source,Ey_x01,Ey_x02,Ey_x03,Ey_x05,Ey_x06,Ey_x07
4.4e-10,2.8076110073716e-106,4.9136243379557e-62,2.3232151986046e-23,9.7944413237013e-08,0.00039944262000475,-4.8458989778281e-62,-0.00012873138602776,-1.8978720398848e-82,-2.7708752292586e-106,1.0222749114566e-78,2.3890727510077e-45,-2.3222668562889e-23,-9.3482208531274e-08
4.5e-10,4.8914376990491e-105,4.1858879822387e-61,3.486622492195e-22,3.3684243414733e-08,0.00048069245793591,4.1295173339872e-61,-0.00023707484190314,-5.7824608572972e-78,4.8395476363503e-105,-1.0346944560487e-77,-1.5615552848406e-44,-3.4232018031805e-22,-1.5681259288069e-07
4.6e-10,1.3977219865798e-103,3.2920054387207e-60,1.4651344710654e-21,-6.2925401266102e-08,0.00057718626635761,-3.2488229180857e-60,-0.0003732640419933,-2.3553723914892e-74,5.7070901181817e-104,9.8362876926594e-77,8.9490809907641e-44,1.4530209424287e-21,-2.3954019049698e-07
4.7e-10,4.6855168343893e-99,2.3725904332762e-59,4.5964353113738e-21,-1.9783556461667e-07,0.00069151458754983,2.3424008142487e-59,-0.00053754981496522,1.5508988813864e-69,-3.3125832228321e-99,-8.7589875295349e-76,-4.3345793440648e-43,4.4617643895423e-21,-3.4579018427066e-07
4.8e-10,1.5267813139975e-94,1.5509552946749e-58,3.8830012412521e-20,-3.762600386947e-07,0.00082665326199517,-1.5319241580818e-58,-0.00072789705405719,-5.5325240992408e-66,1.0795973298329e-94,7.2807377865573e-75,1.6505000295483e-42,-3.8388882871828e-20,-4.7744986566159e-07
4.9e-10,2.1090609960376e-90,9.0586657517007e-58,4.9450511288509e-20,-6.0194250272634e-07,0.00098601350966623,8.952440547689e-58,-0.00093926988394473,4.5621985532407e-61,-1.4913313320977e-90,-5.6239242933381e-74,-4.0756281419417e-42,-4.6531676213721e-20,-6.3201970156706e-07
5e-10,3.5617086656074e-86,4.6193458891784e-57,8.0422941137704e-19,-8.7626415010341e-07,0.001173489846107,-4.5683553786966e-57,-0.0011628969499338,-1.2856234888237e-56,2.5185083500617e-86,4.0130175279365e-73,1.570333693353e-42,7.9382812920104e-19,-8.0396563824033e-07
5.1e-10,7.4342553594719e-83,1.9795644051408e-56,7.2646732476837e-19,-1.1972149728253e-06,0.0013935173966292,1.9595729633788e-56,-0.0013855932390965,1.229877781057e-52,-5.256812377755e-83,-2.6242417982251e-72,9.9190083944949e-42,6.6169194610252e-19,-9.8411710408426e-07
5.2e-10,8.1045808910703e-78,6.6583083361109e-56,1.4697068618828e-17,-1.5582600428987e-06,0.0016511281086576,-6.6005498879201e-56,-0.0015891986967828,-5.2110402974954e-48,5.7308041067507e-78,1.5554209355887e-71,4.1812147736415e-40,-1.4505652452801e-17,-1.1554595099484e-06
5.3e-10,2.6609486270117e-74,1.5589190270808e-55,2.0664245080912e-17,-1.9471613903592e-06,0.0019520207930699,1.5489993879026e-55,-0.0017502395078145,4.1511583152971e-44,1.881574818549e-74,-8.2261241102619e-71,-6.0524092655355e-39,-1.9478036414951e-17,-1.2903494175858e-06
5.325e-10,2.7840314467501e-39,4.6965951939517e-55,1.1038165379693e-17,-2.047083525304e-06,0.0020350602660849,4.6605525176348e-55,-0.0017809621346783,-3.851925685689e-24,1.9686075150336e-39,-1.1507564075221e-54,-1.0879779143287e-38,-8.4608862960006e-18,-1.3150333853683e-06
5.35e-10,4.3393939952403e-38,1.2746027365821e-54,2.1304941309191e-17,-2.1472823389484e-06,0.0021213014232738,1.2637554313677e-54,-0.001806739189988,2.4728715871804e-23,-3.0684149202746e-38,2.8549549487879e-53,-1.9725473344811e-38,2.0731834225462e-17,-1.3345418307217e-06
5.375e-10,2.3957313385846e-37,3.1894085490978e-54,8.1748906735512e-17,-2.2473509499028e-06,0.0022108529758177,3.1601250285783e-54,-0.0018270449092262,-1.4092618439786e-23,1.6940378754143e-37,-2.9201856386772e-52,-3.6438290657079e-38,8.1723726722774e-17,-1.3481587225231e-06
5.4e-10,3.6137911457413e-37,7.1324979751784e-54,1.9524148045283e-16,-2.3468366774103e-06,0.0023037790797552,7.0609793915287e-54,-0.0018412807097879,-1.6247628639872e-22,-2.5553362249456e-37,1.4783757749678e-51,-6.9157269433698e-38,1.9445250145949e-16,-1.35511193357e-06
5.425e-10,1.3800856737464e-36,1.2271521052567e-53,3.8895393144868e-16,-2.4452782621463e-06,0.0024002357454341,1.2121378169466e-53,-0.0018489330262161,8.497929119077e-23,-9.7586793852449e-37,-2.8535432695506e-51,-1.3475526958134e-37,3.8606519859006e-16,-1.3545611836021e-06
5.45e-10,4.3335824900253e-36,3.828731831184e-54,6.9741970421213e-16,-2.5421534835381e-06,0.0025002924582424,3.4532644525624e-54,-0.0018493654698451,7.0461451057812e-22,3.0643055655282e-36,-6.2570603506165e-51,-2.6414625354586e-37,6.9030534368396e-16,-1.3455894590493e-06
5.475e-10,5.8512951244135e-36,9.8439155914349e-53,1.1584099918478e-15,-2.6369450190628e-06,0.0026041433514044,-9.804643917726e-53,-0.0018420763630505,2.83747412752e-22,4.1374904611966e-36,3.6990607883224e-50,-4.9378549939495e-37,1.1437048306326e-15,-1.3271997858875e-06
5.5e-10,2.3857590850368e-35,5.9663591653729e-52,1.8033639989367e-15,-2.7290615165806e-06,0.0027118656325307,-5.9299637314304e-52,-0.0018263985696304,-1.9361570735473e-21,-1.6869864273069e-35,-5.2448306294954e-51,-7.7602037151905e-37,1.7759686821252e-15,-1.2983178434147e-06
