time,avg_stress_xx,disp_x_left,disp_x_mid,disp_x_right
0.00216,599309.07023864,-2.4869757201499e-05,9.6091656572906e-05,6.0745824261163e-05
0.00218,654919.06158512,-2.7899879566564e-05,9.5263573303207e-05,6.5659986374167e-05
0.0022,715404.61731043,-3.0902467990129e-05,9.4179740588796e-05,7.1298191625646e-05
0.00222,781474.83690677,-3.3874559266069e-05,9.3046226546391e-05,7.7764703149184e-05
0.00224,848944.76100222,-3.6813220285403e-05,9.1948076594324e-05,8.4464602714914e-05
0.00226,911951.86757846,-3.9715550930931e-05,9.0630926635607e-05,9.0563287294562e-05
0.00228,967997.09091114,-4.2578686939314e-05,8.9189440803709e-05,9.5706611762277e-05
0.0023,1020301.7134807,-4.5399802727769e-05,8.7808218848062e-05,0.00010035758491233
0.00232,1074724.7863775,-4.817611418259e-05,8.6270209285641e-05,0.00010535599815705
0.00234,1133737.0897076,-5.0904881406747e-05,8.4553109034416e-05,0.00011105755998005
0.00236,1193659.6233434,-5.3583411423843e-05,8.2887529666112e-05,0.00011693939191093
0.00238,1248646.4969984,-5.6209060835773e-05,8.1134023349672e-05,0.000122169010164
0.0024,1297398.6821478,-5.8779238431449e-05,7.9174093168092e-05,0.0001265634304468
0.00242,1344693.4936846,-6.1291407744021e-05,7.7234405566015e-05,0.00013080766278234
0.00244,1395389.1153912,-6.3743089554084e-05,7.5268510176388e-05,0.00013559821264465
0.00246,1448109.2144364,-6.6131864336371e-05,7.3095749776579e-05,0.00014074088058311
0.00248,1497002.0058796,-6.8455374647547e-05,7.0901486282945e-05,0.00014540205476383
0.0025,1539660.9879988,-7.0711327452733e-05,6.8727824377409e-05,0.00014924024226138
0.00252,1580418.6470455,-7.2897496388463e-05,6.6368501752557e-05,0.00015287659604661
0.00254,1624030.3350837,-7.5011723959848e-05,6.3945607505761e-05,0.00015699260962354
0.00256,1668615.0599955,-7.705192366977e-05,6.1572621616398e-05,0.00016132165632959
0.00258,1708468.0800014,-7.9016082078017e-05,5.9049718099574e-05,0.00016505078649362
0.0026,1742796.8701363,-8.0902260788311e-05,5.6427914826884e-05,0.00016806872065974
0.00262,1776859.1046361,-8.270859836128e-05,5.386885971279e-05,0.00017112841658673
0.00264,1813434.3526319,-8.4433312151486e-05,5.1203161013159e-05,0.0001746287382245
0.00266,1848264.4821535,-8.6074700066684e-05,4.8413936704438e-05,0.0001779630830981
0.00268,1877140.6292209,-8.7631142247595e-05,4.5686973914879e-05,0.00018053180478396
0.0027,1902947.4978555,-8.9101102666515e-05,4.289842697534e-05,0.00018274853988427
0.00272,1930575.7834886,-9.0483130643196e-05,3.997403312243e-05,0.00018531340985517
0.00274,1958332.6943787,-9.1775862276501e-05,3.7102518044288e-05,0.00018798595120617
0.00276,1980978.4610086,-9.2978021790415e-05,3.4213102256477e-05,0.00019001890121081
0.00278,1999122.7513133,-9.408842279309e-05,3.1189629726523e-05,0.00019150054168024
0.0028,2017988.2555999,-9.510596944767e-05,2.8209110901341e-05,0.00019317806706661
0.00282,2037691.0465837,-9.6029657553761e-05,2.5258709690611e-05,0.00019506906338676
0.00284,2053070.5606136,-9.6858575538458e-05,2.2203583220154e-05,0.00019643721883492
0.00286,2063475.1734481,-9.7591905355962e-05,1.9209655536517e-05,0.00019719026227948
0.00288,2073902.2414823,-9.8228923294893e-05,1.6337002730021e-05,0.00019804282548829
0.0029,2085238.5850393,-9.8769000692514e-05,1.3473388914306e-05,0.00019912222574167
0.00292,2092581.2032359,-9.9211604555146e-05,1.0799000110929e-05,0.0001997285673357
0.00294,2094978.775312,-9.9556298084169e-05,8.4728547976143e-06,0.00019972638410327
0.00296,2097240.9350776,-9.9802741107095e-05,6.4404197697179e-06,0.00019980310676113
0.00298,2100165.8677185,-9.9950690413277e-05,4.8860736875303e-06,0.00020007300497508
0.003,2098989.6131281,-9.9999999993928e-05,4.0005531562071e-06,0.00019985565902436
0.00302,2093229.2635097,-9.9950621186219e-05,3.6681020622101e-06,0.00019908213074374
0.00304,2087603.1346292,-9.9802602721298e-05,3.8749328923485e-06,0.00019842641651145
0.00306,2082127.9906067,-9.9556090676203e-05,4.5885068107424e-06,0.00019789076512476
0.00308,2072183.4189063,-9.9211328329699e-05,5.4215515122027e-06,0.0001968148743712
0.0031,2058377.1823357,-9.8768655922189e-05,6.0797766607321e-06,0.00019528522726862
0.00312,2045172.9956778,-9.8228510319938e-05,6.4511451561023e-06,0.00019393906049118
0.00314,2031271.3802111,-9.7591424583935e-05,6.3142943311956e-06,0.0001925902011605
0.00316,2012554.8030506,-9.6858027443826e-05,5.730119021654e-06,0.0001906498015634
0.00318,1991126.4227652,-9.6029042677429e-05,5.1071466586871e-06,0.00018841758914618
0.0032,1970627.0893546,-9.5105288396449e-05,4.673313792068e-06,0.00018641286722562
0.00322,1948231.2498457,-9.4087676239099e-05,4.5702591809638e-06,0.00018423107373884
0.00324,1921079.7715477,-9.2977210470417e-05,4.8992643199832e-06,0.00018146275689354
0.00326,1892705.6567557,-9.1774986991173e-05,5.3277898681371e-06,0.00017861153540254
0.00328,1865046.5223382,-9.0482192256344e-05,5.4468591665806e-06,0.00017595302522055
0.0033,1834168.2252967,-8.9100102104218e-05,5.2314581133687e-06,0.00017292393008098
0.00332,1799362.3425585,-8.7630080497292e-05,4.7737076181457e-06,0.00016942168272531
0.00334,1764768.4460471,-8.6073578176198e-05,4.3052785711023e-06,0.00016603619983057
0.00336,1729872.8035953,-8.4432131227993e-05,4.2162951004564e-06,0.00016269255499997
0.00338,1690859.9969813,-8.2707359570215e-05,4.466460581526e-06,0.00015884406856997
0.0034,1649586.268737,-8.0900965352217e-05,4.6467685641128e-06,0.00015475421589584
0.00342,1609243.6384236,-7.9014731275339e-05,4.5653482603708e-06,0.0001508772170708
0.00344,1566973.1109415,-7.7050518833593e-05,4.2109830141183e-06,0.00014680278272952
0.00346,1520782.3966172,-7.5010266476582e-05,3.7557770074579e-06,0.00014224436161178
0.00348,1474322.4878407,-7.2895987696476e-05,3.6032197374319e-06,0.00013772151056657
0.0035,1428247.5966365,-7.0709769040927e-05,3.7846734684112e-06,0.00013332560190685
0.00352,1378826.6893956,-6.8453768053895e-05,3.8742537438444e-06,0.00012852147328797
0.00354,1327036.6753197,-6.6130211146393e-05,3.6739862653512e-06,0.00012344645675669
0.00356,1276250.121612,-6.3741391399288e-05,3.2956833895775e-06,0.00011858005454609
0.00358,1224204.6186946,-6.1289666300288e-05,2.9556573745421e-06,0.00011359670779895
0.0036,1168689.3055526,-5.877745541738e-05,2.922156697293e-06,0.0001081781596602
0.00362,1113022.4266444,-5.6207238010999e-05,3.076812489599e-06,0.00010279596579455
0.00364,1058016.5721802,-5.3581550587278e-05,2.96467555709e-06,9.7563674011718e-05
0.00366,1000177.8374508,-5.0902984394822e-05,2.5679254606399e-06,9.1979563814733e-05
0.00368,940467.52206874,-4.8174182867435e-05,2.2513122130186e-06,8.6178320283483e-05
0.0037,881999.82649425,-4.5397839015367e-05,2.1640136145655e-06,8.0602136193341e-05
0.00372,822478.25846104,-4.2576692767622e-05,2.2124584699938e-06,7.4920201298593e-05
