time,avg_stress_xx,disp_x_left,disp_x_right
0.00236,84499.436421742,1.0126711675413e-05,1.4351683496501e-05
0.00238,103701.65415114,1.0128375775201e-05,1.5313458482757e-05
0.0024,122577.07990606,1.0127072666375e-05,1.6255926661677e-05
0.00242,140228.1941662,1.0126746734999e-05,1.7138156443311e-05
0.00244,155911.99224124,1.0128367960039e-05,1.7923967572102e-05
0.00246,169380.579296,1.0127045953499e-05,1.8596074918297e-05
0.00248,180501.16796154,1.0126781342511e-05,1.9151839740586e-05
0.0025,189270.28858403,1.0128359465631e-05,1.9591873894834e-05
0.00252,195814.52714689,1.0127020354944e-05,1.9917746712292e-05
0.00254,200242.45473104,1.0126815515728e-05,2.013893825228e-05
0.00256,202936.93878624,1.0128350306106e-05,2.0275197245414e-05
0.00258,204422.82032697,1.0126995841303e-05,2.0348136857651e-05
0.0026,204914.80947348,1.0126849268771e-05,2.037258974245e-05
0.00262,204598.36859473,1.0128340495623e-05,2.0358258925361e-05
0.00264,203797.72252578,1.0126972386429e-05,2.0316858512713e-05
0.00266,202752.09201738,1.0126882612571e-05,2.0264487213437e-05
0.00268,201822.32042222,1.0128330048472e-05,2.0219446069587e-05
0.0027,201455.91822492,1.012694996698e-05,2.0199745878231e-05
0.00272,201774.84064335,1.0126915555225e-05,2.0215657587389e-05
0.00274,202555.8798263,1.0128318979072e-05,2.025611297038e-05
0.00276,203223.59455312,1.012692856207e-05,2.0288108289728e-05
0.00278,203154.6194791,1.0126948102407e-05,2.0284679076369e-05
0.0028,202540.7501128,1.0128307301964e-05,2.0255344807605e-05
0.00282,202168.74858206,1.012690815284e-05,2.0235345581936e-05
0.00284,202298.86352716,1.0126980257678e-05,2.0241923434033e-05
0.00286,202582.31509394,1.0128295031933e-05,2.0257410786635e-05
0.00288,202682.81032147,1.0126888722183e-05,2.0261029238262e-05
0.0029,202595.00497959,1.0127012022665e-05,2.0256762271641e-05
0.00292,202568.01876444,1.0128282183956e-05,2.0256683122173e-05
0.00294,202604.41256505,1.0126870254565e-05,2.0257090882817e-05
0.00296,202479.39503682,1.012704339738e-05,2.0251013149224e-05
0.00298,202384.49142473,1.0128268773182e-05,2.0247493344422e-05
0.003,202576.3550902,1.0126852735677e-05,2.0255670490186e-05
0.00302,202734.51332502,1.0127074380416e-05,2.0263800046661e-05
0.00304,202589.44974317,1.0128254815055e-05,2.0257727302208e-05
0.00306,202406.85788042,1.012683615232e-05,2.0247179046347e-05
0.00308,202447.35632062,1.0127104969041e-05,2.0249472785083e-05
0.0031,202625.78235814,1.0128240325195e-05,2.0259529443099e-05
0.00312,202673.92635848,1.0126820492252e-05,2.0260516810159e-05
0.00314,202516.30160846,1.0127135159509e-05,2.025295023993e-05
0.00316,202437.4131317,1.0128225319469e-05,2.0250095976075e-05
0.00318,202551.26976684,1.0126805743898e-05,2.025436923225e-05
0.0032,202611.2379573,1.0127164947043e-05,2.0257726844883e-05
0.00322,202569.85478092,1.0128209814063e-05,2.025670255309e-05
0.00324,202538.6401073,1.0126791896451e-05,2.025372390184e-05
0.00326,202495.23768813,1.0127194325993e-05,2.0251956210428e-05
0.00328,202520.26523089,1.0128193825227e-05,2.0254207086749e-05
0.0033,202628.32590032,1.0126778939597e-05,2.0258195234574e-05
0.00332,202587.68379269,1.0127223290179e-05,2.0256607479831e-05
0.00334,202455.39809596,1.0128177369556e-05,2.0250947274401e-05
0.00336,202508.45865118,1.012676686327e-05,2.0252189795816e-05
0.00338,202635.47284035,1.0127251832606e-05,2.0259025474569e-05
0.0034,202590.79730523,1.0128160463991e-05,2.0257700329262e-05
0.00342,202468.00191924,1.0126755658031e-05,2.0250155754056e-05
0.00344,202494.17938792,1.0127279945838e-05,2.0251988915227e-05
0.00346,202632.65522281,1.0128143125669e-05,2.0259775886734e-05
0.00348,202607.00935797,1.0126745315361e-05,2.0257095783268e-05
0.0035,202444.78429928,1.0127307624527e-05,2.0249546839588e-05
0.00352,202502.82993565,1.0128125378585e-05,2.0253266875357e-05
0.00354,202667.1828559,1.0126735844424e-05,2.0260094987086e-05
0.00356,202559.76625907,1.0127334910336e-05,2.0255323223296e-05
0.00358,202431.15115416,1.0128107372747e-05,2.0249664930645e-05
0.0036,202571.66366197,1.0126727578792e-05,2.0255310761901e-05
0.00362,202641.47504873,1.0127362659352e-05,2.0259436411511e-05
